place,globalPlace,name,time,updates,deltaTime,deltaPercent,vdtDate
1,83,tatarfpv_QT,69,3,0,0,2023-11-18
2,114,TNV,74,5,5,7,2023-11-18
3,142,"greag_pet BURAN",78,3,9,13,2023-11-18
4,160,"pfgzm FT",80,2,10,15,2023-11-18
5,188,Grandmaster,85,2,15,23,2023-11-18
6,203,BJIAD_FPV,86,5,17,25,2023-11-18
7,273,x-centric,97,12,28,40,2023-11-18
1,6,dima13_QT,70,4,0,0,2023-11-17
10,52,S.A.S,87,3,17,24,2023-11-17
11,70,Grandmaster,91,5,20,29,2023-11-17
12,73,TNV,91,5,21,30,2023-11-17
13,80,Skripach_FPV,93,5,23,33,2023-11-17
14,115,Gavrila,104,3,33,47,2023-11-17
15,119,x-centric,105,6,34,49,2023-11-17
16,127,mixsam13,107,2,37,52,2023-11-17
17,145,Dima2012,112,6,41,59,2023-11-17
18,153,Den9ich,114,7,44,62,2023-11-17
19,169,Leto.,119,7,48,69,2023-11-17
2,9,sabj_DroneBand,70,3,0,0,2023-11-17
20,183,BelDrone2,124,2,54,77,2023-11-17
21,187,Flpp,125,3,55,78,2023-11-17
22,211,Qviz,138,3,67,96,2023-11-17
23,248,ShroomPilot,159,6,88,125,2023-11-17
3,10,"MITRICH FT",71,5,0,0,2023-11-17
4,25,DON_72,76,1,6,8,2023-11-17
5,32,TIMA_FPV,79,5,8,12,2023-11-17
6,33,Colibry_BelDrone,79,4,9,13,2023-11-17
7,34,"Starwij RDM",80,4,9,13,2023-11-17
8,42,"pfgzm FT",84,6,14,20,2023-11-17
9,45,"greag_pet BURAN",85,2,15,21,2023-11-17
1,4,dima13_QT,60,2,0,0,2023-11-16
10,68,"Krechet RDM",85,1,24,39,2023-11-16
11,96,yoshi-lyosha,91,2,30,50,2023-11-16
12,98,Colibry_BelDrone,92,2,31,51,2023-11-16
13,103,TNV,92,3,31,52,2023-11-16
14,117,x-centric,95,5,34,55,2023-11-16
15,125,"Leonardovich RDM",97,1,36,59,2023-11-16
16,162,WickFPV,103,3,42,70,2023-11-16
17,212,Den9ich,114,6,53,88,2023-11-16
18,225,"S@telitte RDM",117,2,56,92,2023-11-16
19,268,sunshine,127,4,66,108,2023-11-16
2,18,"MITRICH FT",68,1,8,13,2023-11-16
20,312,ShroomPilot,137,5,77,126,2023-11-16
21,407,Leto.,176,1,115,190,2023-11-16
22,475,Rob3RT,251,1,190,313,2023-11-16
3,19,S.A.S,69,2,8,13,2023-11-16
4,27,DON_72,71,2,10,17,2023-11-16
5,30,TIMA_FPV,73,2,12,20,2023-11-16
